Input1,Input2,Output
41,72,23
138,19,129
152,18,117
20,146,18
29,46,52
23,128,17
52,26,100
62,37,32
27,43,47
154,15,150
128,16,166
150,17,95
24,92,16
166,14,137
33,58,20
16,149,15
22,50,35
35,28,65
133,16,80
45,36,26
14,176,13
16,80,20
36,26,60
140,14,93
18,98,14
12,167,12
21,38,26
38,26,27
11,202,10
202,10,206
13,82,10
30,21,30
206,9,215
21,30,20
10,95,9
95,9,35
99,7,215
22,9,46
8,176,7
105,28,79
47,48,78
76,49,47
48,78,34
78,34,99
47,81,32
34,99,33
81,32,101
76,49,44
83,32,103
33,73,49
50,43,85
31,74,49
49,43,87
74,49,41
43,87,29
31,109,30
41,88,28
28,114,28
47,41,86
114,28,82
117,26,85
84,26,121
26,121,24
39,43,76
90,36,46
26,123,22
72,27,121
123,22,110
57,28,109
28,109,20
31,98,22
22,91,30
91,30,44
23,129,18
18,150,18
88,28,43
34,72,20
19,80,28
30,75,18
75,18,132
156,15,145
15,145,17
21,59,32
32,30,62
25,68,17
14,164,13
13,123,16
40,38,24
167,12,182
81,17,49
17,49,23
156,11,189
115,12,82
9,197,9
107,10,134
36,18,37
9,132,8
8,220,6
10,67,7
29,15,14
14,25,4
6,25,12
5,51,7
165,7,80
233,7,201
18,29,38
201,10,169
23,34,37
74,14,122
173,11,172
11,172,11
37,21,64
11,169,9
64,13,100
176,10,149
67,11,66
11,66,10
7,193,7
48,11,16
172,6,255
5,2,6
2,8,33
8,33,46
57,46,59
54,49,67
51,58,61
61,48,72
68,53,56
58,64,47
68,53,54
45,67,55
54,70,45
44,76,46
66,58,52
65,59,49
75,43,79
78,47,63
49,78,43
43,79,48
42,80,50
48,60,68
68,43,88
43,88,41
51,55,75
73,41,94
40,78,52
40,76,52
79,37,97
76,52,50
80,36,98
36,98,37
37,74,54
53,45,87
103,35,73
103,33,72
91,31,108
105,33,72
41,91,30
54,41,93
93,29,113
74,51,40
41,93,29
29,113,30
118,29,82
41,90,29
29,82,45
42,88,27
28,86,41
27,126,26
83,27,127
27,127,24
72,28,123
23,116,28
65,29,117
123,22,126
116,28,64
56,56,30
126,27,74
52,26,104
19,100,25
151,17,128
116,18,159
18,159,16
32,36,61
88,19,146
61,21,113
41,28,77
161,16,114
15,156,16
20,62,30
156,16,102
24,86,16
15,173,13
19,57,27
141,13,179
57,27,33
13,179,12
179,12,166
