X1,X2,Y
5,3,4039.780029
0.7,0.21,331.850006
0.7,0.21,215.149994
8,4.8,3023.929932
11,3.3,6970.02002
4,3.6,2288.51001
3,1.8,2584.560059
2,1.2,1460.170044
8,4.8,4886.060059
0.7,0.21,229.559998
11,3.3,7043.950195
0.7,0.21,237.570007
6.5,3.9,5403.209961
0.9,0.54,399.649994
8,4.8,6545.149902
0.6,0.36,210.660004
1.5,1.35,1522.25
2.5,1.5,1226.829956
0.8,0.24,270.040009
3,2.7,1808.290039
0.6,0.54,386.01001
0.8,0.24,185.940002
0.7,0.42,243.860001
0.9,0.27,392.390015
8,2.4,3075.209961
0.9,0.81,1239.609985
0.6,0.54,275.149994
0.6,0.36,421.769989
0.8,0.72,373.5
6.5,5.85,5119.910156
0.8,0.48,786.929993
0.7,0.21,365.920013
0.6,0.54,1079.47998
0.9,0.54,1079.47998
8,4.8,4670.790039
8,2.4,2737.320068
6.5,5.85,6801.47998
0.8,0.48,236.050003
4,3.6,3688.340088
5,1.5,2569.790039
0.6,0.18,306.269989
0.8,0.48,776.940002
0.8,0.48,392.559998
2,1.8,1773.459961
2,1.2,598.330017
4,3.6,3164.790039
2,0.6,475.299988
0.7,0.42,255.800003
0.6,0.18,332.670013
1.5,1.35,601.77002
11,6.6,4774.379883
2.5,1.5,1710.98999
11,3.3,4391.97998
0.6,0.18,137.059998
2.5,1.5,651.090027
0.8,0.24,293.170013
0.9,0.81,1239.609985
0.9,0.54,1024.23999
6.5,1.95,2237.77002
0.7,0.42,622.849976
4,1.2,911.539978
0.9,0.54,841
8,7.2,4483.629883
0.5,0.15,174.259995
2.5,1.5,1652.77002
8,2.4,3059.820068
2.5,1.5,2011.660034
0.6,0.54,399.029999
3,2.7,2561.909912
9.5,2.85,2774.189941
0.7,0.42,1218.630005
8,4.8,4701.560059
3,0.9,691.179993
0.6,0.18,327.799988
0.5,0.3,107.239998
5,1.5,2513.899902
2.5,2.25,2482.919922
6.5,1.95,3449.060059
0.6,0.36,293.380005
2,0.6,480.51001
2.5,0.75,1442.199951
2.5,1.5,1710.140015
0.7,0.21,374.059998
0.6,0.18,106.739998
0.5,0.45,334.720001
9.5,2.85,5266.359863
0.9,0.54,810.299988
0.8,0.72,216.779999
0.9,0.81,980.859985
9.5,8.55,7667.660156
2.5,0.75,1564.969971
0.5,0.15,222.029999
0.7,0.63,305.059998
0.8,0.72,724.51001
0.6,0.36,158.809998
0.5,0.15,281.950012
0.7,0.42,735.219971
0.8,0.48,397
0.9,0.27,291.700012
0.8,0.48,1361.599976
9.5,5.7,3438.389893
0.7,0.42,330.399994
3,0.9,889.380005
8,2.4,3773.75
2.5,0.75,1221.98999
0.9,0.27,167.580002
0.5,0.15,107.739998
8,2.4,2608.399902
0.6,0.36,303.600006
1.5,1.35,1830.72998
2,1.2,1561.890015
0.6,0.18,138.690002
11,3.3,5201.939941
0.5,0.15,444.649994
4,2.4,3417.540039
6.5,5.85,3705.610107
0.9,0.27,299.570007
0.7,0.63,851.380005
6.5,3.9,2901.959961
9.5,2.85,5777.430176
6.5,1.95,2188.47998
11,6.6,4913.689941
2,1.8,779.880005
5,1.5,2840.959961
0.8,0.72,547.789978
8,4.8,4199.060059
0.6,0.18,197.789993
0.9,0.54,1031.890015
5,4.5,3887.77002
0.5,0.15,167
0.7,0.42,682.02002
2.5,1.5,1240.550049
11,6.6,7694.689941
4,1.2,790.320007
9.5,5.7,4081.550049
9.5,8.55,8526.25
11,3.3,3628.949951
8,2.4,1967.630005
0.8,0.48,1364.209961
2.5,1.5,2019.349976
2,1.8,1521.329956
0.6,0.36,767.099976
9.5,2.85,3733.669922
4,2.4,3361.120117
8,7.2,6134.140137
4,2.4,2245.800049
0.6,0.18,71.699997
0.9,0.54,1079.47998
3,2.7,2454.570068
0.5,0.15,152.550003
11,3.3,4411.910156
0.5,0.45,363.519989
0.6,0.18,436.48999
6.5,3.9,5254.040039
0.5,0.15,164.389999
0.6,0.54,794.400024
0.5,0.45,655.97998
0.5,0.45,238.220001
8,7.2,7075.549805
0.9,0.27,1111.430054
9.5,5.7,8077.879883
0.9,0.54,610.76001
0.5,0.3,260.070007
2,0.6,1248.180054
0.6,0.18,210.070007
5,4.5,5174.930176
0.7,0.42,211.149994
3,0.9,1049.77002
0.5,0.45,503.450012
4,2.4,2987.01001
5,4.5,3899.810059
0.9,0.54,427.420013
3,0.9,1372.280029
9.5,8.55,5219.470215
2.5,1.5,2141.97998
1.5,0.9,1210.319946
0.6,0.18,186.110001
8,4.8,4883.209961
0.7,0.21,262.119995
8,7.2,5479.569824
0.8,0.24,721.75
0.5,0.15,365.480011
2.5,0.75,382.859985
2,0.6,1321.060059
0.8,0.24,307.190002
0.7,0.42,418.609985
0.6,0.18,393.149994
9.5,2.85,2804.169922
9.5,5.7,8099.609863
0.8,0.24,188.039993
4,1.2,1272.800049
1.5,0.45,1109.01001
8,4.8,5705.390137
3,0.9,1359.329956
0.7,0.21,915.950012
0.8,0.48,953.52002
2,0.6,321.940002
0.9,0.27,170.309998
0.5,0.15,119.279999
0.5,0.3,247.759995
6.5,1.95,1598.619995
0.5,0.15,363
5,3,3079.429932
6.5,1.95,2080.149902
2,1.8,1471.040039
5,1.5,1452.209961
0.5,0.15,97.419998
6.5,5.85,5776.919922
6.5,1.95,2230.639893
0.7,0.63,521.859985
9.5,5.7,5569.589844
