X1,X2,Y
6.5,5.85,5113.72998
0.5,0.3,179.169998
0.7,0.21,133.270004
2,1.2,732.409973
3,0.9,499.600006
2,0.6,330.519989
2,1.8,1535.089966
4,2.4,3351.570068
0.9,0.81,1239.609985
4,2.4,1355.150024
4,2.4,1821.709961
0.6,0.54,397.5
8,4.8,3016.030029
0.8,0.72,537.549988
3,1.8,1431.619995
5,3,2768.48999
5,4.5,4154.330078
11,3.3,4302.819824
11,6.6,5798.919922
9.5,5.7,5065.129883
4,1.2,2414.580078
2,0.6,683.5
11,6.6,5798.540039
0.8,0.24,514.619995
0.7,0.42,334.230011
3,2.7,1809.48999
9.5,8.55,7655.819824
6.5,1.95,1662.800049
2,1.2,748.619995
0.6,0.36,113.660004
8,7.2,7086.509766
0.5,0.15,210.619995
0.7,0.21,157.990005
1.5,1.35,1442.060059
5,1.5,1726.540039
2,1.8,2275.5
0.8,0.24,156.610001
2.5,1.5,1567.790039
0.9,0.54,810.299988
0.7,0.42,715.799988
0.5,0.45,362.119995
11,3.3,6403.620117
0.6,0.18,269.640015
0.7,0.42,631.01001
5,4.5,3002.189941
0.6,0.36,704.440002
0.5,0.15,120.089996
4,1.2,2181.669922
2.5,1.5,1640.180054
6.5,3.9,4111.899902
0.8,0.24,224.449997
0.7,0.42,631.219971
0.5,0.3,456.880005
6.5,1.95,1988.089966
9.5,2.85,3087.25
0.6,0.36,495.720001
0.6,0.54,615.210022
9.5,8.55,6554.069824
5,3,3168.620117
0.7,0.21,155.300003
4,3.6,4303.060059
0.9,0.27,214.800003
5,4.5,3568.419922
2.5,1.5,631.76001
2,0.6,1357.920044
0.5,0.15,269.130005
4,2.4,2420.449951
0.6,0.54,152.550003
11,3.3,3233.889893
0.6,0.36,767.099976
1.5,1.35,608.030029
0.6,0.54,880.409973
6.5,5.85,6809.509766
9.5,2.85,3772.23999
6.5,1.95,3970.689941
0.8,0.24,1050.26001
5,1.5,2170.5
3,2.7,2842.330078
0.6,0.54,278.73999
0.9,0.54,462.799988
2,1.2,1834.579956
0.5,0.45,350.540009
3,0.9,1621.569946
0.5,0.45,323.130005
4,2.4,2611.620117
0.9,0.81,607.289978
2.5,0.75,555
2,1.2,1814.689941
2,1.2,1455.579956
0.5,0.45,332.899994
9.5,5.7,6361.540039
0.6,0.54,152.960007
1.5,0.9,626.929993
0.9,0.54,1478.459961
0.8,0.72,530.179993
2,1.8,1920.949951
0.9,0.54,638.580017
0.7,0.21,654.22998
0.5,0.45,350.730011
0.6,0.18,121.660004
0.8,0.48,298.480011
1.5,1.35,1228.01001
6.5,5.85,5255.759766
0.9,0.27,1135.420044
1.5,0.9,1261.439941
2,1.8,2283.419922
0.5,0.45,717.059998
2.5,2.25,2096.25
2.5,0.75,897.419983
0.7,0.42,855.849976
0.8,0.24,728.549988
0.8,0.24,1019.070007
3,0.9,1332.51001
0.5,0.15,304.329987
9.5,5.7,6838.509766
0.5,0.15,316.619995
5,1.5,2610.399902
0.5,0.3,267.369995
0.9,0.27,492.809998
0.8,0.72,918.580017
9.5,2.85,3759.370117
0.7,0.42,327.779999
0.5,0.45,237.289993
2.5,0.75,1467.079956
5,1.5,1120.189941
2,0.6,1339.23999
5,3,2769.719971
4,2.4,2416.100098
0.7,0.21,244.869995
0.8,0.24,713.340027
0.6,0.54,358.820007
0.7,0.63,337.390015
11,3.3,2618.199951
0.5,0.15,327.690002
4,1.2,1246.930054
0.6,0.36,460.73999
6.5,3.9,5367.22998
4,3.6,3332.679932
0.8,0.24,281.049988
5,3,4016.75
0.9,0.27,465.519989
8,7.2,4479.870117
0.6,0.54,808.809998
0.7,0.42,624.799988
5,3,2752.25
3,1.8,2655.929932
6.5,3.9,2466.98999
5,3,3646.699951
2.5,2.25,2098.600098
4,1.2,635.02002
8,4.8,4172.089844
0.7,0.21,137.210007
0.9,0.81,413.179993
8,7.2,5473.339844
8,4.8,6354.060059
0.9,0.27,764.140015
4,3.6,2844.629883
0.8,0.72,1166.910034
0.6,0.54,794.400024
0.7,0.63,866.77002
0.9,0.27,457.690002
0.8,0.48,718.780029
1.5,1.35,764.47998
0.6,0.18,74.330002
3,0.9,1344.880005
0.9,0.54,306.429993
0.7,0.21,648.099976
8,7.2,8250.629883
0.9,0.27,795.359985
0.5,0.45,674.23999
8,2.4,2398.52002
0.6,0.36,120.269997
0.8,0.24,617.72998
0.5,0.15,280.350006
6.5,3.9,3528.350098
3,0.9,1401.439941
0.7,0.21,457.940002
0.7,0.21,124.470001
0.7,0.63,394.380005
0.8,0.48,931.169983
0.6,0.18,213.820007
2.5,0.75,1249.459961
0.9,0.54,1478.459961
0.5,0.15,284.730011
0.8,0.48,483.019989
0.5,0.45,729.359985
2,1.8,2288.580078
5,1.5,2506.5
2.5,1.5,1643.400024
0.7,0.42,1219.26001
0.8,0.48,383.450012
11,3.3,6404.089844
11,6.6,7579.810059
0.6,0.54,1008.880005
9.5,5.7,5082.669922
2.5,2.25,2812.02002
8,4.8,4235.830078
0.8,0.48,680.849976
0.5,0.3,484.809998
11,6.6,4177.609863
8,2.4,1896.910034
9.5,8.55,8529.129883
0.7,0.21,96.43
0.7,0.21,97.68
2.5,2.25,1597.349976
0.9,0.27,136.740005
1.5,0.9,1266.310059
0.9,0.54,172.639999
6.5,1.95,3418.5
3,1.8,2615.050049
4,3.6,3156.540039
