X1,X2,Y
11,3.3,4329.330078
4,1.2,2016.439941
0.9,0.27,249.419998
2,1.2,1044.219971
2,1.8,1761.920044
2.5,1.5,2028.640015
9.5,2.85,3093.179932
5,1.5,964.52002
6.5,5.85,5782.939941
5,1.5,2101.409912
2.5,0.75,1445
9.5,5.7,6857.439941
6.5,5.85,3730.27002
5,3,3123.949951
8,7.2,4482.029785
0.9,0.27,234.100006
0.5,0.45,127.110001
6.5,1.95,3695.23999
2.5,1.5,1709.420044
2.5,1.5,1237.199951
0.7,0.42,487.100006
5,4.5,4150.72998
11,3.3,4211.589844
0.6,0.18,323.230011
6.5,5.85,5265.720215
0.9,0.54,462.869995
1.5,1.35,1227.119995
4,2.4,2246.669922
2,1.2,1572.180054
2,0.6,1099.319946
0.5,0.3,376.140015
2.5,2.25,2482.919922
2.5,0.75,1190.920044
0.8,0.48,565.47998
5,3,3092.830078
8,2.4,3140.310059
0.8,0.24,437.399994
9.5,2.85,5330.52002
3,2.7,2559.149902
1.5,0.9,395.329987
1.5,1.35,1520.380005
3,2.7,3261.97998
0.5,0.15,227.410004
6.5,1.95,2594.909912
0.7,0.63,484.299988
6.5,3.9,4103.22998
0.6,0.18,109.989998
9.5,5.7,4243.049805
0.7,0.21,319.660004
9.5,8.55,5225.950195
3,0.9,579.799988
0.8,0.72,1148.380005
3,1.8,1816.790039
0.9,0.27,379.570007
4,1.2,2236.300049
0.8,0.24,217.520004
2.5,1.5,2154.899902
8,2.4,3060.629883
0.6,0.36,526.72998
0.8,0.48,1353.199951
0.6,0.54,794.400024
0.8,0.48,294.75
4,3.6,2868.23999
4,3.6,3332.790039
6.5,1.95,3730.179932
2.5,0.75,1528.73999
0.8,0.24,750.169983
2,0.6,505.429993
6.5,3.9,2888.719971
0.7,0.42,340.540009
0.5,0.15,176.240005
9.5,5.7,5092.080078
0.5,0.45,697.349976
0.5,0.45,353.850006
0.7,0.21,265.140015
2,1.8,1001.859985
5,3,1676.670044
0.6,0.54,432.720001
2.5,2.25,2195.280029
3,1.8,1902.119995
2.5,2.25,1596.569946
11,6.6,4189.919922
4,3.6,2852.27002
0.8,0.48,673.890015
5,1.5,1445.380005
0.8,0.48,731.48999
2,1.8,1901.369995
0.7,0.21,198.949997
0.7,0.42,328.23999
3,2.7,2266.25
9.5,2.85,3869.590088
2.5,0.75,1140.849976
2.5,1.5,1559.089966
3,1.8,1815.939941
0.6,0.18,237.649994
2,1.8,730.799988
9.5,2.85,5818.629883
0.6,0.36,271.980011
1.5,0.9,459.450012
0.5,0.3,182.470001
0.9,0.54,880.409973
0.8,0.48,728.359985
9.5,8.55,7632.910156
9.5,2.85,2800.080078
0.9,0.27,788.179993
5,4.5,5174.720215
0.7,0.63,1050.199951
2.5,0.75,1469.290039
9.5,5.7,8153.339844
0.8,0.72,1152.689941
5,4.5,2995.179932
11,6.6,5925.27002
0.6,0.36,345.480011
3,0.9,462
0.5,0.3,233.259995
6.5,5.85,4576.02002
3,1.8,1902.439941
2.5,0.75,1560.27002
0.9,0.27,345.700012
6.5,1.95,3430.02002
0.8,0.24,1014.51001
2,1.8,1470.969971
0.8,0.24,709.52002
3,0.9,1633.089966
0.5,0.15,167
5,1.5,2653.48999
5,4.5,4583.850098
0.8,0.24,268.920013
1.5,0.9,970.98999
0.6,0.36,638.51001
2.5,0.75,1417.73999
0.6,0.36,289.850006
8,2.4,3139.080078
0.9,0.27,293.519989
6.5,3.9,2976.199951
0.7,0.63,181.449997
0.5,0.15,167.029999
2,1.2,1071.109985
4,2.4,2601.669922
0.7,0.21,954.599976
5,1.5,2171.659912
0.8,0.48,959.710022
9.5,5.7,6355.629883
6.5,3.9,2522.219971
0.6,0.18,297.279999
9.5,8.55,8546.030273
9.5,2.85,4654.600098
2,0.6,920.830017
3,0.9,1856.199951
6.5,1.95,3178.389893
0.5,0.45,689.130005
6.5,1.95,2564.090088
0.5,0.45,635.619995
6.5,5.85,5782.339844
5,4.5,4514.490234
0.8,0.24,149.75
0.7,0.63,193.169998
0.5,0.45,127.050003
0.7,0.63,319.959991
3,1.8,2069.47998
3,1.8,2332.27002
0.5,0.15,64.470001
3,0.9,1703.150024
0.9,0.27,254.690002
0.9,0.27,1132.910034
1.5,1.35,1829.890015
0.7,0.21,388.679993
2.5,2.25,2482.919922
4,1.2,1689.880005
2,0.6,958
0.7,0.42,680.059998
0.9,0.54,1016.799988
3,0.9,1713.150024
2,1.2,830.530029
9.5,2.85,3711.040039
0.9,0.81,668.059998
0.6,0.36,267.440002
0.6,0.36,304.799988
3,1.8,2029.599976
0.7,0.42,260.089996
2.5,1.5,2156.219971
0.6,0.36,271.230011
4,1.2,1268.550049
0.5,0.45,291.850006
4,1.2,2063.76001
0.9,0.27,706.099976
0.8,0.24,407.149994
8,7.2,6107.359863
0.6,0.18,525.669983
0.5,0.45,323.369995
8,2.4,4257.720215
6.5,1.95,2640.22998
0.7,0.21,454.890015
0.8,0.24,157.809998
0.9,0.81,607.289978
2.5,2.25,1582.660034
2.5,1.5,1566.890015
0.5,0.3,301.869995
2,1.8,1760.849976
0.9,0.54,839.190002
0.6,0.36,207.270004
0.8,0.48,940.809998
0.7,0.42,327.649994
1.5,1.35,855.169983
0.7,0.21,192.789993
0.5,0.15,71.580002
2.5,0.75,544.48999
4,2.4,1807.680054
0.9,0.27,787.450012
8,7.2,8269.709961
0.6,0.18,256.559998
0.7,0.21,276.549988
