Input1,Input2,Output
86,22,138
141,21,111
95,32,48
41,72,23
22,138,19
32,48,59
138,19,129
111,27,58
48,59,27
23,129,19
19,129,24
27,58,46
59,27,112
27,112,20
46,30,92
112,20,152
144,19,93
30,92,20
19,93,29
92,20,146
152,18,117
93,29,46
36,71,23
20,146,18
18,117,22
29,46,52
117,22,62
23,128,17
22,62,37
52,26,100
128,17,158
142,19,86
62,37,32
26,100,17
17,158,17
19,86,27
100,17,154
158,17,118
86,27,43
32,72,20
17,154,15
17,118,21
27,43,47
154,15,150
118,21,63
43,47,24
15,150,17
21,63,33
47,24,92
128,16,166
150,17,95
63,33,33
24,92,16
17,95,22
33,33,58
92,16,149
166,14,137
33,58,20
16,149,15
14,137,16
22,50,35
58,20,106
137,16,82
50,35,28
15,169,14
16,82,23
35,28,65
106,15,160
169,14,133
82,23,45
28,65,18
15,160,14
14,133,16
160,14,176
133,16,80
45,36,26
18,111,14
14,176,13
16,80,20
36,26,60
80,20,45
26,60,18
14,163,12
20,45,30
60,18,98
163,12,185
140,14,93
18,98,14
30,28,46
98,14,145
185,12,167
93,17,58
14,145,11
12,167,12
17,58,21
46,19,68
19,68,15
11,183,11
12,132,13
21,38,26
68,15,93
183,11,202
132,13,100
38,26,27
11,202,10
13,100,13
26,27,30
93,12,114
202,10,206
100,13,82
27,30,21
10,206,9
13,82,10
30,21,30
206,9,215
82,10,77
21,30,20
11,120,10
9,215,8
10,77,9
30,20,21
120,10,95
20,21,22
10,95,9
9,99,7
21,22,9
95,9,35
234,8,176
99,7,215
22,9,46
8,176,7
7,215,5
176,7,4
215,5,19
46,4,105
7,4,55
5,19,30
3,125,41
4,55,71
19,30,98
105,28,79
125,41,49
55,71,34
30,98,33
28,79,47
41,49,75
71,34,95
98,33,76
79,47,48
49,75,34
34,95,35
33,76,49
47,48,78
75,34,96
95,35,75
76,49,47
48,78,34
49,47,81
78,34,99
96,34,76
75,49,46
47,81,32
34,99,33
34,76,49
49,46,83
81,32,101
76,49,44
46,83,32
32,101,33
83,32,103
101,33,73
32,103,31
33,73,49
50,43,85
85,30,106
103,31,74
73,49,43
43,85,31
31,74,49
49,43,87
85,31,109
106,31,76
74,49,41
43,87,29
31,109,30
31,76,47
49,41,87
87,29,110
109,30,76
76,47,41
41,87,28
29,110,30
87,28,114
110,30,79
41,88,28
28,114,28
47,41,86
88,28,117
114,28,82
41,86,26
28,117,26
28,82,43
45,42,84
117,26,85
42,84,26
26,119,25
26,85,39
43,42,80
84,26,121
119,25,90
85,39,43
42,80,26
26,121,24
39,43,76
121,24,96
90,36,46
26,123,23
24,96,35
36,46,72
123,23,102
96,35,50
26,123,22
23,102,31
35,50,64
72,27,121
123,22,110
102,31,53
27,121,21
22,110,28
31,53,57
121,21,120
27,117,20
28,59,49
57,28,109
117,20,128
120,25,68
59,49,31
28,109,20
20,128,23
49,31,98
109,20,135
128,23,77
68,43,34
31,98,22
23,77,36
43,34,86
98,22,139
135,22,91
77,36,38
34,86,21
22,139,19
22,91,30
139,19,107
91,30,44
38,73,23
19,107,26
30,44,59
73,23,129
137,19,125
107,26,55
44,59,24
23,129,18
19,125,22
26,55,47
59,24,114
129,18,140
55,47,28
24,114,18
22,68,36
47,28,93
114,18,150
140,19,88
68,36,34
28,93,19
18,150,18
19,88,28
36,34,72
93,19,147
150,18,112
88,28,43
34,72,20
28,43,53
72,20,131
147,16,137
112,23,58
43,53,24
16,137,19
23,58,38
53,24,104
131,16,156
137,19,80
24,104,17
16,156,16
19,80,28
38,30,75
104,17,156
156,16,112
80,28,40
30,75,18
17,156,15
16,112,21
75,18,132
156,15,145
112,21,59
40,51,22
18,132,15
15,145,17
21,59,32
51,22,96
132,15,164
15,164,14
17,89,24
32,30,62
96,16,153
89,24,46
30,62,19
16,153,13
14,130,17
24,46,37
62,19,113
153,13,165
130,17,75
46,37,25
19,113,14
13,165,13
17,75,24
37,25,68
75,24,40
25,68,17
14,164,13
13,123,16
68,17,118
123,16,71
40,38,24
17,118,13
38,24,65
170,12,129
71,22,40
24,65,16
13,167,12
12,129,14
167,12,182
129,14,81
14,81,17
33,24,51
107,12,156
182,11,155
81,17,49
12,156,11
11,155,11
17,49,23
51,17,77
156,11,189
155,11,115
49,23,32
17,77,13
11,115,12
23,32,30
77,13,107
115,12,82
32,30,23
13,107,10
9,197,9
12,82,12
30,23,36
107,10,134
197,9,192
82,12,64
23,36,18
9,192,8
12,64,13
36,18,37
134,10,148
192,8,195
64,13,58
18,37,16
10,148,9
8,195,8
13,58,10
37,16,29
195,8,220
58,10,67
16,29,15
9,132,8
8,220,6
10,67,7
29,15,14
132,8,66
67,7,137
15,14,25
8,66,9
14,25,4
66,9,5
237,6,25
137,5,165
25,4,233
9,5,51
6,25,12
5,165,7
4,233,7
5,51,7
165,7,80
233,7,201
51,7,109
12,18,29
7,80,12
7,201,10
18,29,38
201,10,169
29,38,20
12,128,11
10,169,11
38,20,74
128,11,173
169,11,114
63,23,34
20,74,14
11,173,11
23,34,37
74,14,122
173,11,172
34,37,21
11,172,11
14,67,20
37,21,64
122,11,169
67,20,39
21,64,13
11,169,9
11,131,12
20,39,28
64,13,100
131,12,88
39,28,25
13,100,11
9,188,10
12,88,14
28,25,41
88,14,57
25,41,17
11,141,10
14,57,16
41,17,56
141,10,175
176,10,149
57,16,41
17,56,14
10,175,8
10,149,9
175,8,196
149,9,130
8,196,8
67,11,66
196,8,207
11,66,10
8,207,7
7,131,6
17,30,12
207,7,193
131,6,172
30,12,39
10,48,11
7,193,7
6,172,6
12,39,6
48,11,16
193,7,86
172,6,255
11,16,19
7,86,8
6,255,5
6,107,4
86,8,2
255,5,2
107,4,7
8,2,8
5,2,6
4,7,8
3,23,16
2,8,33
2,6,57
23,16,56
8,33,46
6,57,46
8,65,54
16,56,64
33,46,66
57,46,59
56,64,46
46,66,48
46,59,58
54,49,67
64,46,67
66,48,60
59,58,50
48,60,60
58,50,69
67,47,68
67,51,58
60,60,50
47,68,52
51,58,61
60,50,71
69,46,68
68,52,58
58,61,48
46,68,53
52,58,64
61,48,72
71,46,68
68,53,56
58,64,47
48,72,45
46,68,53
53,56,65
64,47,73
68,53,54
45,67,55
53,54,67
65,46,74
67,55,54
46,74,46
55,54,70
67,44,76
74,46,66
66,55,51
54,70,45
44,76,46
46,66,58
70,45,77
76,46,65
66,58,52
51,73,44
45,77,46
46,65,59
58,52,75
73,44,78
65,59,49
52,75,43
46,64,61
59,49,78
75,43,79
78,47,63
64,61,47
49,78,43
43,79,47
47,63,63
78,43,79
79,47,61
63,63,46
43,79,48
63,46,84
80,42,80
79,48,60
46,84,42
42,80,50
48,60,68
84,42,80
80,50,59
60,68,43
46,86,41
42,80,50
50,59,71
68,43,88
86,41,79
80,50,56
59,71,41
43,88,41
88,41,78
79,51,55
56,73,41
41,91,40
51,55,75
73,41,94
91,40,78
78,52,54
55,75,39
41,94,40
40,78,52
52,54,79
75,39,95
94,40,76
78,52,50
39,95,38
40,76,52
52,50,80
79,37,97
95,38,76
76,52,50
37,97,37
38,76,54
52,50,83
80,36,98
97,37,74
76,54,47
36,98,37
37,74,53
54,47,85
83,34,100
98,37,74
74,53,45
47,85,34
34,100,35
37,74,54
53,45,87
85,34,103
74,54,43
45,87,33
34,103,35
35,72,53
54,43,88
87,33,103
103,35,73
72,53,43
43,88,32
35,73,53
88,32,105
103,33,72
73,53,41
33,72,54
53,41,91
91,31,108
105,33,72
72,54,41
41,91,30
33,72,51
54,41,93
72,51,41
41,93,29
30,111,31
32,74,51
93,29,113
111,31,75
74,51,40
41,93,29
29,113,30
51,40,92
93,29,118
113,30,78
29,118,29
30,78,46
49,41,90
118,29,82
78,46,42
41,90,29
28,120,28
29,82,45
46,42,88
90,29,124
82,45,43
42,88,27
29,124,27
28,86,41
45,43,83
124,27,91
86,41,45
43,83,27
27,126,26
27,91,38
41,45,78
83,27,127
126,26,99
91,38,47
45,78,27
27,127,24
26,99,35
38,47,72
78,27,126
127,24,106
99,35,52
24,106,32
35,52,65
72,28,123
106,32,56
52,65,29
28,123,22
23,116,28
32,56,56
65,29,117
123,22,126
116,28,64
56,56,30
29,117,22
22,126,27
28,64,49
56,30,107
117,22,133
126,27,74
64,49,32
30,107,21
22,133,23
27,74,41
49,32,95
107,21,140
133,23,84
74,41,36
32,95,21
21,140,21
23,84,35
41,36,80
95,21,141
140,21,99
36,80,22
21,141,20
35,42,67
80,22,135
99,29,49
42,67,24
22,135,18
20,117,25
29,49,52
117,25,62
49,52,26
24,122,18
18,134,20
52,26,104
122,18,148
134,20,79
62,41,32
26,104,18
18,148,19
20,79,32
41,32,82
104,18,151
18,151,17
