Input1,Input2,Output
95,32,48
41,72,23
21,111,27
32,48,59
72,23,129
138,19,129
48,59,27
23,129,19
27,58,46
59,27,112
129,19,144
129,24,73
58,46,30
27,112,20
19,144,19
24,73,37
46,30,92
144,19,93
73,37,36
20,152,18
19,93,29
37,36,71
92,20,146
152,18,117
36,71,23
20,146,18
18,117,22
29,46,52
71,23,128
146,18,142
46,52,26
23,128,17
18,142,19
52,26,100
128,17,158
142,19,86
62,37,32
26,100,17
17,158,17
19,86,27
37,32,72
158,17,118
17,154,15
17,118,21
27,43,47
72,20,128
154,15,150
118,21,63
43,47,24
20,128,16
15,150,17
21,63,33
47,24,92
128,16,166
150,17,95
63,33,33
24,92,16
16,166,14
17,95,22
166,14,137
95,22,50
33,58,20
16,149,15
22,50,35
58,20,106
149,15,169
137,16,82
50,35,28
20,106,15
16,82,23
35,28,65
106,15,160
82,23,45
23,45,36
65,18,111
160,14,176
133,16,80
45,36,26
18,111,14
14,176,13
16,80,20
36,26,60
111,14,163
176,13,140
80,20,45
26,60,18
14,163,12
13,140,14
60,18,98
140,14,93
45,30,28
18,98,14
12,185,12
14,93,17
30,28,46
98,14,145
185,12,167
93,17,58
28,46,19
12,167,12
17,58,21
46,19,68
145,11,183
167,12,132
58,21,38
19,68,15
11,183,11
12,132,13
21,38,26
68,15,93
183,11,202
132,13,100
38,26,27
15,93,12
11,202,10
26,27,30
93,12,114
202,10,206
12,114,11
13,82,10
30,21,30
114,11,120
206,9,215
21,30,20
9,215,8
30,20,21
120,10,95
215,8,234
77,9,99
20,21,22
10,95,9
8,234,8
9,99,7
21,22,9
95,9,35
234,8,176
99,7,215
22,9,46
9,35,11
8,176,7
7,215,5
9,46,4
35,11,3
176,7,4
46,4,105
11,3,125
7,4,55
5,19,30
4,105,28
4,55,71
105,28,79
55,71,34
28,79,47
41,49,75
71,34,95
98,33,76
79,47,48
34,95,35
33,76,49
47,48,78
75,34,96
95,35,75
76,49,47
48,78,34
34,96,34
35,75,49
49,47,81
78,34,99
75,49,46
47,81,32
34,99,33
49,46,83
81,32,101
99,33,74
76,49,44
46,83,32
32,101,33
33,74,50
49,44,85
83,32,103
101,33,73
74,50,43
44,85,30
32,103,31
33,73,49
50,43,85
103,31,74
73,49,43
30,106,31
31,74,49
49,43,87
85,31,109
74,49,41
43,87,29
31,109,30
31,76,47
49,41,87
109,30,76
76,47,41
41,87,28
29,110,30
30,76,47
47,41,88
87,28,114
110,30,79
76,47,41
41,88,28
28,114,28
30,79,45
47,41,86
114,28,82
79,45,42
41,86,26
45,42,84
86,26,119
117,26,85
82,43,42
42,84,26
26,119,25
26,85,39
43,42,80
84,26,121
85,39,43
42,80,26
26,121,24
25,90,36
39,43,76
80,26,123
121,24,96
90,36,46
43,76,26
26,123,23
24,96,35
36,46,72
76,26,123
123,23,102
46,72,27
26,123,22
23,102,31
35,50,64
72,27,121
123,22,110
50,64,27
27,121,21
22,110,28
31,53,57
64,27,117
110,28,59
53,57,28
21,120,25
57,28,109
28,109,20
20,128,23
25,68,43
109,20,135
128,23,77
68,43,34
31,98,22
20,135,22
98,22,139
135,22,91
77,36,38
34,86,21
22,139,19
22,91,30
36,38,73
86,21,137
139,19,107
91,30,44
38,73,23
21,137,19
19,107,26
30,44,59
137,19,125
44,59,24
23,129,18
19,125,22
129,18,140
125,22,68
55,47,28
24,114,18
18,140,19
114,18,150
140,19,88
68,36,34
28,93,19
18,150,18
19,88,28
150,18,112
88,28,43
34,72,20
19,147,16
18,112,23
28,43,53
72,20,131
43,53,24
20,131,16
16,137,19
53,24,104
131,16,156
58,38,30
16,156,16
19,80,28
38,30,75
104,17,156
156,16,112
80,28,40
30,75,18
17,156,15
16,112,21
28,40,51
75,18,132
156,15,145
18,132,15
15,145,17
21,59,32
51,22,96
145,17,89
59,32,30
22,96,16
17,89,24
32,30,62
96,16,153
164,14,130
89,24,46
30,62,19
16,153,13
24,46,37
62,19,113
153,13,165
130,17,75
46,37,25
13,165,13
37,25,68
113,14,164
165,13,123
75,24,40
25,68,17
14,164,13
13,123,16
24,40,38
68,17,118
164,13,170
40,38,24
13,170,12
16,71,22
38,24,65
118,13,167
170,12,129
71,22,40
24,65,16
13,167,12
12,129,14
22,40,33
65,16,107
167,12,182
129,14,81
40,33,24
16,107,12
12,182,11
14,81,17
107,12,156
182,11,155
81,17,49
24,51,17
12,156,11
11,155,11
17,49,23
51,17,77
156,11,189
155,11,115
49,23,32
17,77,13
11,189,9
11,115,12
23,32,30
189,9,197
115,12,82
32,30,23
13,107,10
9,197,9
30,23,36
107,10,134
197,9,192
82,12,64
10,134,10
9,192,8
36,18,37
134,10,148
192,8,195
10,148,9
8,195,8
148,9,132
195,8,220
58,10,67
16,29,15
9,132,8
8,220,6
10,67,7
29,15,14
132,8,66
220,6,237
15,14,25
8,66,9
6,237,6
7,137,5
14,25,4
66,9,5
137,5,165
25,4,233
9,5,51
6,25,12
5,165,7
5,51,7
25,12,18
165,7,80
233,7,201
12,18,29
7,80,12
7,201,10
7,109,14
18,29,38
80,12,128
201,10,169
109,14,63
12,128,11
10,169,11
14,63,23
38,20,74
128,11,173
169,11,114
63,23,34
20,74,14
11,114,14
23,34,37
74,14,122
173,11,172
114,14,67
34,37,21
14,122,11
11,172,11
37,21,64
172,11,131
67,20,39
11,169,9
11,131,12
20,39,28
64,13,100
169,9,188
9,188,10
12,88,14
28,25,41
100,11,141
188,10,176
25,41,17
11,141,10
10,176,10
14,57,16
141,10,175
176,10,149
57,16,41
10,175,8
10,149,9
16,41,18
56,14,67
175,8,196
149,9,130
41,18,32
14,67,11
9,130,7
18,32,17
67,11,66
130,7,131
32,17,30
11,66,10
8,207,7
17,30,12
66,10,48
207,7,193
131,6,172
10,48,11
7,193,7
12,39,6
48,11,16
193,7,86
172,6,255
39,6,107
11,16,19
7,86,8
6,255,5
6,107,4
16,19,3
255,5,2
107,4,7
19,3,23
5,2,6
4,7,8
3,23,16
2,8,33
7,8,65
8,33,46
6,57,46
16,56,64
33,46,66
57,46,59
65,54,49
56,64,46
46,66,48
46,59,58
54,49,67
66,48,60
49,67,47
46,67,51
48,60,60
58,50,69
67,47,68
67,51,58
60,60,50
50,69,46
47,68,52
51,58,61
50,71,46
46,68,53
52,58,64
61,48,72
71,46,68
68,53,56
58,64,47
48,72,45
64,47,73
72,45,67
68,53,54
56,65,46
47,73,46
45,67,55
53,54,67
73,46,66
54,67,44
46,74,46
46,66,55
74,46,66
66,55,51
54,70,45
44,76,46
46,66,58
55,51,73
70,45,77
66,58,52
46,65,59
58,52,75
77,46,64
65,59,49
52,75,43
44,78,47
46,64,61
59,49,78
75,43,79
78,47,63
49,78,43
43,79,47
47,63,63
61,47,80
78,43,79
79,47,61
47,80,42
43,79,48
47,61,66
63,46,84
80,42,80
79,48,60
61,66,46
42,80,50
48,60,68
66,46,86
84,42,80
80,50,59
46,86,41
42,80,50
50,59,71
68,43,88
86,41,79
59,71,41
43,88,41
41,79,51
50,56,73
71,41,91
88,41,78
79,51,55
41,78,52
51,55,75
73,41,94
91,40,78
78,52,54
55,75,39
41,94,40
40,78,52
75,39,95
78,52,50
54,79,37
39,95,38
40,76,52
79,37,97
76,52,50
50,80,36
37,97,37
38,76,54
52,50,83
80,36,98
50,83,34
36,98,37
54,47,85
98,37,74
47,85,34
34,100,35
37,74,54
53,45,87
85,34,103
100,35,72
74,54,43
45,87,33
34,103,35
35,72,53
87,33,103
103,35,73
43,88,32
33,103,33
35,73,53
53,43,91
88,32,105
103,33,72
73,53,41
43,91,31
32,105,33
33,72,54
91,31,108
105,33,72
72,54,41
41,91,30
31,108,32
33,72,51
54,41,93
91,30,111
108,32,74
41,93,29
32,74,51
51,41,93
93,29,113
74,51,40
41,93,29
29,113,30
31,75,49
51,40,92
93,29,118
75,49,41
40,92,28
29,118,29
49,41,90
92,28,120
118,29,82
41,90,29
29,82,45
90,29,124
120,28,86
82,45,43
42,88,27
28,86,41
45,43,83
88,27,126
43,83,27
27,126,26
27,91,38
83,27,127
126,26,99
91,38,47
45,78,27
27,127,24
26,99,35
127,24,106
99,35,52
47,72,28
27,126,23
35,52,65
72,28,123
126,23,116
52,65,29
28,123,22
23,116,28
32,56,56
65,29,117
123,22,126
116,28,64
56,56,30
22,126,27
56,30,107
117,22,133
126,27,74
64,49,32
30,107,21
22,133,23
27,74,41
107,21,140
32,95,21
21,140,21
41,36,80
84,35,42
36,80,22
21,141,20
21,99,29
80,22,135
141,20,117
99,29,49
22,135,18
20,117,25
67,24,122
135,18,134
117,25,62
49,52,26
24,122,18
25,62,41
52,26,104
134,20,79
62,41,32
26,104,18
18,148,19
20,79,32
41,32,82
104,18,151
148,19,100
79,32,39
32,82,19
19,100,25
82,19,140
151,17,128
100,25,52
39,62,22
19,140,17
17,128,21
25,52,44
140,17,150
128,21,71
22,116,18
17,150,18
44,27,88
116,18,159
71,32,36
18,159,16
32,36,61
88,19,146
98,25,52
36,61,21
19,146,17
16,132,19
25,52,41
61,21,113
146,17,161
132,19,76
52,41,28
21,113,16
17,161,16
19,76,28
41,28,77
161,16,114
76,28,39
16,114,20
163,15,156
114,20,62
19,132,15
15,156,16
20,62,30
47,24,86
132,15,173
156,16,102
62,30,34
24,86,16
15,173,13
86,16,141
34,50,21
16,141,13
13,154,14
19,57,27
50,21,87
141,13,179
154,14,103
57,27,33
13,179,12
14,103,18
27,33,45
87,15,136
179,12,166
103,18,61
33,45,20
15,136,12
12,166,13
45,20,0
