Input1,Input2,Output
86,22,138
141,21,111
41,72,23
22,138,19
21,111,27
32,48,59
72,23,129
138,19,129
111,27,58
48,59,27
23,129,19
19,129,24
27,58,46
59,27,112
129,19,144
129,24,73
58,46,30
27,112,20
19,144,19
24,73,37
112,20,152
73,37,36
30,92,20
20,152,18
37,36,71
152,18,117
93,29,46
20,146,18
29,46,52
71,23,128
146,18,142
117,22,62
46,52,26
23,128,17
18,142,19
22,62,37
52,26,100
128,17,158
62,37,32
19,86,27
37,32,72
100,17,154
158,17,118
86,27,43
32,72,20
17,118,21
27,43,47
72,20,128
154,15,150
43,47,24
20,128,16
15,150,17
21,63,33
128,16,166
150,17,95
63,33,33
24,92,16
16,166,14
17,95,22
33,33,58
92,16,149
166,14,137
95,22,50
33,58,20
16,149,15
14,137,16
22,50,35
58,20,106
149,15,169
20,106,15
15,169,14
35,28,65
169,14,133
28,65,18
15,160,14
14,133,16
23,45,36
65,18,111
160,14,176
133,16,80
45,36,26
18,111,14
14,176,13
16,80,20
36,26,60
111,14,163
176,13,140
80,20,45
14,163,12
13,140,14
20,45,30
163,12,185
140,14,93
45,30,28
18,98,14
12,185,12
14,93,17
98,14,145
185,12,167
28,46,19
14,145,11
12,167,12
145,11,183
167,12,132
58,21,38
19,68,15
12,132,13
21,38,26
38,26,27
15,93,12
11,202,10
13,100,13
26,27,30
93,12,114
202,10,206
100,13,82
27,30,21
12,114,11
10,206,9
13,82,10
30,21,30
114,11,120
206,9,215
82,10,77
21,30,20
11,120,10
9,215,8
10,77,9
30,20,21
120,10,95
215,8,234
77,9,99
10,95,9
8,234,8
9,99,7
21,22,9
95,9,35
234,8,176
99,7,215
22,9,46
9,35,11
8,176,7
9,46,4
35,11,3
176,7,4
215,5,19
46,4,105
11,3,125
5,19,30
4,105,28
3,125,41
4,55,71
19,30,98
105,28,79
125,41,49
30,98,33
41,49,75
98,33,76
49,75,34
33,76,49
47,48,78
75,34,96
95,35,75
76,49,47
48,78,34
34,96,34
35,75,49
78,34,99
96,34,76
75,49,46
47,81,32
34,99,33
34,76,49
49,46,83
81,32,101
99,33,74
76,49,44
46,83,32
32,101,33
33,74,50
49,44,85
83,32,103
74,50,43
44,85,30
32,103,31
33,73,49
50,43,85
85,30,106
73,49,43
43,85,31
30,106,31
31,74,49
49,43,87
85,31,109
106,31,76
74,49,41
43,87,29
31,109,30
87,29,110
109,30,76
76,47,41
30,76,47
47,41,88
87,28,114
76,47,41
41,88,28
28,114,28
30,79,45
47,41,86
88,28,117
114,28,82
79,45,42
41,86,26
28,117,26
28,82,43
86,26,119
117,26,85
82,43,42
26,119,25
26,85,39
84,26,121
119,25,90
85,39,43
26,121,24
25,90,36
39,43,76
80,26,123
90,36,46
43,76,26
36,46,72
76,26,123
123,23,102
96,35,50
46,72,27
26,123,22
72,27,121
123,22,110
102,31,53
50,64,27
22,110,28
31,53,57
64,27,117
121,21,120
110,28,59
53,57,28
27,117,20
21,120,25
28,59,49
57,28,109
117,20,128
120,25,68
59,49,31
28,109,20
25,68,43
49,31,98
68,43,34
31,98,22
20,135,22
23,77,36
43,34,86
98,22,139
34,86,21
22,139,19
22,91,30
36,38,73
86,21,137
91,30,44
38,73,23
21,137,19
19,107,26
30,44,59
73,23,129
137,19,125
107,26,55
23,129,18
26,55,47
59,24,114
125,22,68
24,114,18
18,140,19
22,68,36
47,28,93
140,19,88
68,36,34
28,93,19
18,150,18
36,34,72
93,19,147
88,28,43
34,72,20
19,147,16
18,112,23
147,16,137
112,23,58
43,53,24
20,131,16
23,58,38
53,24,104
131,16,156
137,19,80
58,38,30
24,104,17
19,80,28
38,30,75
156,16,112
30,75,18
17,156,15
16,112,21
28,40,51
75,18,132
156,15,145
112,21,59
40,51,22
15,145,17
21,59,32
132,15,164
145,17,89
59,32,30
22,96,16
15,164,14
32,30,62
96,16,153
164,14,130
16,153,13
14,130,17
24,46,37
62,19,113
153,13,165
46,37,25
19,113,14
13,165,13
17,75,24
113,14,164
165,13,123
75,24,40
25,68,17
14,164,13
13,123,16
24,40,38
164,13,170
123,16,71
40,38,24
17,118,13
13,170,12
16,71,22
118,13,167
71,22,40
13,167,12
12,129,14
22,40,33
65,16,107
167,12,182
129,14,81
40,33,24
16,107,12
12,182,11
33,24,51
81,17,49
24,51,17
17,49,23
51,17,77
156,11,189
155,11,115
11,189,9
23,32,30
77,13,107
189,9,197
115,12,82
13,107,10
9,197,9
12,82,12
30,23,36
107,10,134
23,36,18
10,134,10
12,64,13
36,18,37
134,10,148
64,13,58
18,37,16
8,195,8
13,58,10
37,16,29
148,9,132
195,8,220
58,10,67
16,29,15
9,132,8
8,220,6
10,67,7
29,15,14
220,6,237
67,7,137
8,66,9
6,237,6
7,137,5
14,25,4
66,9,5
237,6,25
137,5,165
25,4,233
9,5,51
6,25,12
4,233,7
5,51,7
25,12,18
165,7,80
233,7,201
51,7,109
12,18,29
7,109,14
18,29,38
80,12,128
201,10,169
109,14,63
29,38,20
12,128,11
10,169,11
14,63,23
20,74,14
11,173,11
11,114,14
23,34,37
74,14,122
173,11,172
114,14,67
14,122,11
11,172,11
14,67,20
37,21,64
122,11,169
172,11,131
21,64,13
11,169,9
11,131,12
20,39,28
64,13,100
169,9,188
131,12,88
39,28,25
13,100,11
9,188,10
12,88,14
28,25,41
100,11,141
188,10,176
88,14,57
25,41,17
10,176,10
14,57,16
41,17,56
176,10,149
57,16,41
17,56,14
16,41,18
56,14,67
149,9,130
41,18,32
14,67,11
8,196,8
9,130,7
18,32,17
67,11,66
196,8,207
130,7,131
32,17,30
11,66,10
7,131,6
66,10,48
30,12,39
7,193,7
6,172,6
12,39,6
48,11,16
172,6,255
39,6,107
6,107,4
16,19,3
86,8,2
107,4,7
19,3,23
8,2,8
5,2,6
3,23,16
2,8,33
2,6,57
7,8,65
23,16,56
8,33,46
8,65,54
33,46,66
57,46,59
65,54,49
54,49,67
64,46,67
59,58,50
49,67,47
46,67,51
67,47,68
50,69,46
47,68,52
51,58,61
60,50,71
69,46,68
68,52,58
58,61,48
50,71,46
46,68,53
52,58,64
61,48,72
71,46,68
68,53,56
58,64,47
48,72,45
46,68,53
53,56,65
64,47,73
72,45,67
68,53,54
56,65,46
47,73,46
45,67,55
65,46,74
73,46,66
67,55,54
54,67,44
46,74,46
46,66,55
55,54,70
67,44,76
66,55,51
54,70,45
44,76,46
55,51,73
70,45,77
76,46,65
66,58,52
51,73,44
45,77,46
58,52,75
73,44,78
77,46,64
65,59,49
44,78,47
46,64,61
75,43,79
78,47,63
64,61,47
49,78,43
47,63,63
61,47,80
78,43,79
63,63,46
47,80,42
43,79,48
47,61,66
63,46,84
80,42,80
61,66,46
46,84,42
42,80,50
48,60,68
66,46,86
84,42,80
60,68,43
42,80,50
50,59,71
68,43,88
80,50,56
43,88,41
41,79,51
50,56,73
71,41,91
56,73,41
41,91,40
41,78,52
51,55,75
73,41,94
78,52,54
41,94,40
40,78,52
52,54,79
94,40,76
54,79,37
40,76,52
52,50,80
79,37,97
95,38,76
76,52,50
50,80,36
38,76,54
80,36,98
97,37,74
76,54,47
50,83,34
36,98,37
37,74,53
83,34,100
74,53,45
34,100,35
37,74,54
53,45,87
85,34,103
100,35,72
74,54,43
34,103,35
35,72,53
54,43,88
87,33,103
103,35,73
72,53,43
43,88,32
33,103,33
35,73,53
53,43,91
88,32,105
103,33,72
73,53,41
43,91,31
32,105,33
33,72,54
53,41,91
91,31,108
105,33,72
72,54,41
41,91,30
31,108,32
54,41,93
91,30,111
108,32,74
72,51,41
41,93,29
30,111,31
32,74,51
51,41,93
93,29,113
111,31,75
74,51,40
41,93,29
29,113,30
31,75,49
51,40,92
113,30,78
75,49,41
40,92,28
30,78,46
92,28,120
118,29,82
78,46,42
41,90,29
28,120,28
29,82,45
46,42,88
90,29,124
120,28,86
42,88,27
29,124,27
28,86,41
88,27,126
124,27,91
86,41,45
43,83,27
27,126,26
41,45,78
83,27,127
91,38,47
45,78,27
27,127,24
26,99,35
38,47,72
78,27,126
47,72,28
27,126,23
24,106,32
35,52,65
72,28,123
126,23,116
106,32,56
23,116,28
65,29,117
123,22,126
116,28,64
56,56,30
29,117,22
28,64,49
56,30,107
117,22,133
126,27,74
22,133,23
27,74,41
49,32,95
107,21,140
133,23,84
74,41,36
21,140,21
23,84,35
41,36,80
95,21,141
140,21,99
84,35,42
21,141,20
21,99,29
35,42,67
141,20,117
99,29,49
42,67,24
22,135,18
29,49,52
67,24,122
135,18,134
49,52,26
18,134,20
25,62,41
52,26,104
122,18,148
62,41,32
26,104,18
41,32,82
148,19,100
79,32,39
32,82,19
18,151,17
19,100,25
32,39,62
82,19,140
