Input1,Input2,Output
21,111,27
72,23,129
129,19,144
129,24,73
58,46,30
19,144,19
24,73,37
73,37,36
20,152,18
37,36,71
71,23,128
146,18,142
46,52,26
18,142,19
37,32,72
72,20,128
20,128,16
16,166,14
95,22,50
149,15,169
20,106,15
23,45,36
65,18,111
111,14,163
176,13,140
13,140,14
45,30,28
12,185,12
14,93,17
28,46,19
145,11,183
167,12,132
58,21,38
15,93,12
12,114,11
114,11,120
215,8,234
77,9,99
8,234,8
9,35,11
9,46,4
35,11,3
11,3,125
4,105,28
34,96,34
35,75,49
99,33,74
33,74,50
49,44,85
74,50,43
44,85,30
30,106,31
30,76,47
47,41,88
76,47,41
30,79,45
79,45,42
86,26,119
82,43,42
25,90,36
80,26,123
43,76,26
76,26,123
46,72,27
50,64,27
64,27,117
110,28,59
53,57,28
21,120,25
25,68,43
20,135,22
36,38,73
86,21,137
21,137,19
125,22,68
18,140,19
19,147,16
18,112,23
20,131,16
58,38,30
28,40,51
145,17,89
59,32,30
22,96,16
164,14,130
113,14,164
165,13,123
24,40,38
164,13,170
13,170,12
16,71,22
118,13,167
22,40,33
65,16,107
40,33,24
16,107,12
12,182,11
24,51,17
11,189,9
189,9,197
10,134,10
148,9,132
220,6,237
6,237,6
7,137,5
25,12,18
7,109,14
80,12,128
109,14,63
14,63,23
11,114,14
114,14,67
14,122,11
172,11,131
169,9,188
100,11,141
188,10,176
10,176,10
16,41,18
56,14,67
41,18,32
14,67,11
9,130,7
18,32,17
130,7,131
32,17,30
66,10,48
39,6,107
16,19,3
19,3,23
7,8,65
65,54,49
49,67,47
46,67,51
50,69,46
50,71,46
72,45,67
56,65,46
47,73,46
73,46,66
54,67,44
46,66,55
55,51,73
77,46,64
44,78,47
61,47,80
47,80,42
47,61,66
61,66,46
66,46,86
41,79,51
50,56,73
71,41,91
41,78,52
54,79,37
50,80,36
50,83,34
100,35,72
33,103,33
53,43,91
43,91,31
32,105,33
31,108,32
91,30,111
108,32,74
51,41,93
31,75,49
75,49,41
40,92,28
92,28,120
120,28,86
88,27,126
47,72,28
27,126,23
126,23,116
84,35,42
21,99,29
141,20,117
67,24,122
135,18,134
25,62,41
148,19,100
79,32,39
32,82,19
82,19,140
100,25,52
39,62,22
98,25,52
19,146,17
16,132,19
25,52,41
52,41,28
76,28,39
163,15,156
34,50,21
16,141,13
154,14,103
87,15,136
45,20,0
