Input1,Input2,Output
86,22,138
141,21,111
95,32,48
41,72,23
22,138,19
21,111,27
72,23,129
138,19,129
111,27,58
19,129,24
129,19,144
129,24,73
58,46,30
19,144,19
24,73,37
46,30,92
112,20,152
144,19,93
73,37,36
30,92,20
20,152,18
19,93,29
37,36,71
92,20,146
152,18,117
93,29,46
36,71,23
20,146,18
18,117,22
29,46,52
71,23,128
146,18,142
117,22,62
46,52,26
23,128,17
18,142,19
22,62,37
52,26,100
142,19,86
62,37,32
26,100,17
17,158,17
37,32,72
100,17,154
86,27,43
32,72,20
17,154,15
27,43,47
72,20,128
154,15,150
118,21,63
20,128,16
47,24,92
128,16,166
150,17,95
24,92,16
16,166,14
33,33,58
92,16,149
166,14,137
95,22,50
33,58,20
16,149,15
14,137,16
22,50,35
149,15,169
137,16,82
50,35,28
20,106,15
15,169,14
16,82,23
35,28,65
106,15,160
169,14,133
82,23,45
28,65,18
15,160,14
14,133,16
23,45,36
65,18,111
133,16,80
45,36,26
14,176,13
16,80,20
36,26,60
111,14,163
176,13,140
26,60,18
13,140,14
20,45,30
60,18,98
163,12,185
140,14,93
45,30,28
18,98,14
12,185,12
14,93,17
30,28,46
93,17,58
28,46,19
14,145,11
12,167,12
17,58,21
46,19,68
145,11,183
167,12,132
58,21,38
11,183,11
21,38,26
68,15,93
183,11,202
132,13,100
38,26,27
15,93,12
11,202,10
13,100,13
202,10,206
100,13,82
27,30,21
12,114,11
10,206,9
13,82,10
30,21,30
114,11,120
206,9,215
82,10,77
21,30,20
11,120,10
10,77,9
215,8,234
77,9,99
20,21,22
10,95,9
8,234,8
95,9,35
99,7,215
22,9,46
9,35,11
8,176,7
7,215,5
9,46,4
35,11,3
215,5,19
11,3,125
7,4,55
4,105,28
3,125,41
19,30,98
105,28,79
125,41,49
55,71,34
30,98,33
28,79,47
71,34,95
79,47,48
49,75,34
34,95,35
47,48,78
76,49,47
48,78,34
34,96,34
35,75,49
49,47,81
78,34,99
96,34,76
47,81,32
34,99,33
34,76,49
81,32,101
99,33,74
76,49,44
33,74,50
49,44,85
83,32,103
101,33,73
74,50,43
44,85,30
33,73,49
50,43,85
85,30,106
103,31,74
43,85,31
30,106,31
31,74,49
49,43,87
106,31,76
74,49,41
43,87,29
31,109,30
31,76,47
49,41,87
87,29,110
41,87,28
29,110,30
30,76,47
47,41,88
110,30,79
76,47,41
41,88,28
28,114,28
30,79,45
47,41,86
88,28,117
114,28,82
79,45,42
28,117,26
28,82,43
45,42,84
86,26,119
117,26,85
82,43,42
42,84,26
43,42,80
84,26,121
119,25,90
42,80,26
26,121,24
25,90,36
39,43,76
80,26,123
121,24,96
90,36,46
43,76,26
26,123,23
24,96,35
76,26,123
96,35,50
46,72,27
26,123,22
23,102,31
35,50,64
72,27,121
123,22,110
102,31,53
50,64,27
27,121,21
64,27,117
121,21,120
110,28,59
53,57,28
27,117,20
21,120,25
28,59,49
57,28,109
117,20,128
120,25,68
59,49,31
28,109,20
20,128,23
25,68,43
49,31,98
109,20,135
128,23,77
31,98,22
20,135,22
23,77,36
43,34,86
135,22,91
77,36,38
22,91,30
36,38,73
86,21,137
139,19,107
91,30,44
21,137,19
73,23,129
107,26,55
44,59,24
23,129,18
19,125,22
26,55,47
59,24,114
129,18,140
125,22,68
55,47,28
18,140,19
22,68,36
47,28,93
114,18,150
18,150,18
19,88,28
36,34,72
93,19,147
150,18,112
88,28,43
34,72,20
19,147,16
18,112,23
28,43,53
72,20,131
147,16,137
112,23,58
20,131,16
16,137,19
23,58,38
137,19,80
58,38,30
24,104,17
16,156,16
19,80,28
104,17,156
80,28,40
30,75,18
28,40,51
75,18,132
156,15,145
112,21,59
40,51,22
18,132,15
15,145,17
21,59,32
51,22,96
132,15,164
145,17,89
59,32,30
22,96,16
15,164,14
17,89,24
32,30,62
164,14,130
89,24,46
30,62,19
14,130,17
130,17,75
19,113,14
17,75,24
37,25,68
113,14,164
165,13,123
25,68,17
14,164,13
13,123,16
24,40,38
68,17,118
164,13,170
123,16,71
40,38,24
17,118,13
13,170,12
16,71,22
38,24,65
118,13,167
170,12,129
24,65,16
22,40,33
65,16,107
167,12,182
40,33,24
16,107,12
12,182,11
14,81,17
33,24,51
107,12,156
182,11,155
81,17,49
24,51,17
12,156,11
11,155,11
17,49,23
156,11,189
49,23,32
17,77,13
11,189,9
11,115,12
77,13,107
189,9,197
115,12,82
32,30,23
9,197,9
12,82,12
107,10,134
197,9,192
82,12,64
23,36,18
10,134,10
9,192,8
12,64,13
36,18,37
192,8,195
64,13,58
18,37,16
10,148,9
13,58,10
37,16,29
148,9,132
9,132,8
8,220,6
10,67,7
29,15,14
132,8,66
220,6,237
67,7,137
15,14,25
6,237,6
7,137,5
14,25,4
237,6,25
6,25,12
5,165,7
4,233,7
5,51,7
25,12,18
165,7,80
233,7,201
51,7,109
7,80,12
7,201,10
7,109,14
18,29,38
80,12,128
201,10,169
109,14,63
29,38,20
14,63,23
38,20,74
128,11,173
169,11,114
63,23,34
11,173,11
11,114,14
23,34,37
74,14,122
173,11,172
114,14,67
34,37,21
14,122,11
11,172,11
14,67,20
37,21,64
122,11,169
172,11,131
67,20,39
21,64,13
11,169,9
64,13,100
169,9,188
131,12,88
39,28,25
13,100,11
100,11,141
188,10,176
88,14,57
11,141,10
10,176,10
41,17,56
141,10,175
176,10,149
17,56,14
10,175,8
10,149,9
16,41,18
56,14,67
175,8,196
41,18,32
14,67,11
8,196,8
9,130,7
18,32,17
67,11,66
196,8,207
130,7,131
32,17,30
11,66,10
8,207,7
7,131,6
17,30,12
66,10,48
207,7,193
131,6,172
30,12,39
10,48,11
7,193,7
6,172,6
48,11,16
193,7,86
172,6,255
39,6,107
11,16,19
7,86,8
6,255,5
16,19,3
86,8,2
255,5,2
19,3,23
8,2,8
5,2,6
4,7,8
2,8,33
2,6,57
7,8,65
23,16,56
8,33,46
6,57,46
8,65,54
16,56,64
57,46,59
65,54,49
56,64,46
46,66,48
46,59,58
54,49,67
64,46,67
66,48,60
59,58,50
49,67,47
46,67,51
48,60,60
58,50,69
67,51,58
60,60,50
50,69,46
51,58,61
60,50,71
69,46,68
68,52,58
58,61,48
50,71,46
61,48,72
68,53,56
58,64,47
46,68,53
53,56,65
72,45,67
68,53,54
56,65,46
47,73,46
45,67,55
53,54,67
65,46,74
73,46,66
67,55,54
54,67,44
46,66,55
55,54,70
67,44,76
74,46,66
54,70,45
44,76,46
46,66,58
55,51,73
76,46,65
66,58,52
51,73,44
45,77,46
46,65,59
73,44,78
77,46,64
65,59,49
52,75,43
44,78,47
59,49,78
75,43,79
78,47,63
64,61,47
49,78,43
43,79,47
61,47,80
79,47,61
63,63,46
47,80,42
43,79,48
47,61,66
79,48,60
61,66,46
46,84,42
42,80,50
48,60,68
66,46,86
80,50,59
60,68,43
46,86,41
68,43,88
86,41,79
80,50,56
59,71,41
43,88,41
41,79,51
50,56,73
71,41,91
88,41,78
79,51,55
56,73,41
41,91,40
41,78,52
51,55,75
73,41,94
91,40,78
55,75,39
40,78,52
52,54,79
75,39,95
94,40,76
78,52,50
54,79,37
39,95,38
40,76,52
52,50,80
79,37,97
95,38,76
76,52,50
50,80,36
37,97,37
52,50,83
80,36,98
97,37,74
76,54,47
50,83,34
36,98,37
37,74,53
54,47,85
83,34,100
98,37,74
74,53,45
47,85,34
37,74,54
53,45,87
100,35,72
45,87,33
54,43,88
103,35,73
72,53,43
33,103,33
53,43,91
103,33,72
43,91,31
32,105,33
53,41,91
91,31,108
105,33,72
41,91,30
31,108,32
33,72,51
54,41,93
91,30,111
108,32,74
72,51,41
30,111,31
51,41,93
93,29,113
111,31,75
74,51,40
41,93,29
29,113,30
31,75,49
93,29,118
113,30,78
75,49,41
40,92,28
29,118,29
30,78,46
49,41,90
92,28,120
118,29,82
78,46,42
41,90,29
28,120,28
29,82,45
46,42,88
120,28,86
82,45,43
42,88,27
29,124,27
28,86,41
45,43,83
88,27,126
124,27,91
86,41,45
27,126,26
27,91,38
41,45,78
83,27,127
126,26,99
27,127,24
38,47,72
78,27,126
127,24,106
99,35,52
47,72,28
27,126,23
24,106,32
72,28,123
126,23,116
106,32,56
52,65,29
28,123,22
23,116,28
32,56,56
65,29,117
123,22,126
116,28,64
56,56,30
29,117,22
22,126,27
28,64,49
126,27,74
64,49,32
30,107,21
49,32,95
133,23,84
74,41,36
32,95,21
23,84,35
95,21,141
140,21,99
84,35,42
36,80,22
21,99,29
35,42,67
80,22,135
141,20,117
42,67,24
20,117,25
29,49,52
67,24,122
135,18,134
117,25,62
24,122,18
18,134,20
25,62,41
52,26,104
122,18,148
134,20,79
18,148,19
20,79,32
104,18,151
