Input1,Input2,Output
32,48,59
48,59,27
23,129,19
27,58,46
59,27,112
27,112,20
128,17,158
19,86,27
158,17,118
17,118,21
43,47,24
15,150,17
21,63,33
63,33,33
17,95,22
58,20,106
160,14,176
18,111,14
80,20,45
14,163,12
98,14,145
185,12,167
19,68,15
12,132,13
26,27,30
93,12,114
9,215,8
30,20,21
120,10,95
9,99,7
21,22,9
234,8,176
176,7,4
46,4,105
5,19,30
4,55,71
41,49,75
98,33,76
33,76,49
75,34,96
95,35,75
75,49,46
49,46,83
46,83,32
32,101,33
32,103,31
73,49,43
85,31,109
109,30,76
76,47,41
87,28,114
41,86,26
26,119,25
26,85,39
85,39,43
36,46,72
123,23,102
22,110,28
31,53,57
68,43,34
98,22,139
34,86,21
22,139,19
38,73,23
19,107,26
30,44,59
137,19,125
24,114,18
140,19,88
68,36,34
28,93,19
43,53,24
53,24,104
131,16,156
38,30,75
156,16,112
17,156,15
16,112,21
96,16,153
16,153,13
24,46,37
62,19,113
153,13,165
46,37,25
13,165,13
75,24,40
71,22,40
13,167,12
12,129,14
129,14,81
51,17,77
155,11,115
23,32,30
13,107,10
30,23,36
134,10,148
8,195,8
195,8,220
58,10,67
16,29,15
8,66,9
66,9,5
137,5,165
25,4,233
9,5,51
12,18,29
12,128,11
10,169,11
20,74,14
11,131,12
20,39,28
9,188,10
12,88,14
28,25,41
25,41,17
14,57,16
57,16,41
149,9,130
12,39,6
6,107,4
107,4,7
3,23,16
33,46,66
67,47,68
47,68,52
46,68,53
52,58,64
71,46,68
48,72,45
64,47,73
46,74,46
66,55,51
70,45,77
58,52,75
46,64,61
47,63,63
78,43,79
63,46,84
80,42,80
84,42,80
42,80,50
50,59,71
78,52,54
41,94,40
38,76,54
34,100,35
85,34,103
74,54,43
34,103,35
35,72,53
87,33,103
43,88,32
35,73,53
88,32,105
73,53,41
33,72,54
72,54,41
41,93,29
32,74,51
51,40,92
90,29,124
43,83,27
91,38,47
45,78,27
26,99,35
35,52,65
56,30,107
117,22,133
22,133,23
27,74,41
107,21,140
21,140,21
41,36,80
21,141,20
99,29,49
22,135,18
49,52,26
62,41,32
26,104,18
41,32,82
19,140,17
17,128,21
140,17,150
128,21,71
17,150,18
44,27,88
71,32,36
146,17,161
132,19,76
17,161,16
16,114,20
19,132,15
47,24,86
132,15,173
62,30,34
50,21,87
27,33,45
12,166,13
