Input1,Input2,Output
86,22,138
141,21,111
22,138,19
111,27,58
19,129,24
112,20,152
30,92,20
93,29,46
117,22,62
22,62,37
100,17,154
86,27,43
32,72,20
33,33,58
92,16,149
14,137,16
15,169,14
169,14,133
28,65,18
15,160,14
14,133,16
20,45,30
163,12,185
14,145,11
13,100,13
100,13,82
27,30,21
10,206,9
82,10,77
11,120,10
10,77,9
215,5,19
3,125,41
19,30,98
125,41,49
30,98,33
49,75,34
96,34,76
34,76,49
85,30,106
43,85,31
106,31,76
87,29,110
88,28,117
28,117,26
28,82,43
119,25,90
96,35,50
102,31,53
121,21,120
27,117,20
28,59,49
117,20,128
120,25,68
59,49,31
49,31,98
23,77,36
43,34,86
73,23,129
107,26,55
26,55,47
59,24,114
22,68,36
47,28,93
36,34,72
93,19,147
147,16,137
112,23,58
23,58,38
137,19,80
24,104,17
112,21,59
40,51,22
132,15,164
15,164,14
14,130,17
19,113,14
17,75,24
123,16,71
17,118,13
33,24,51
77,13,107
12,82,12
23,36,18
12,64,13
64,13,58
18,37,16
13,58,10
37,16,29
67,7,137
237,6,25
4,233,7
51,7,109
29,38,20
11,173,11
14,67,20
122,11,169
21,64,13
131,12,88
39,28,25
13,100,11
88,14,57
41,17,56
17,56,14
8,196,8
196,8,207
7,131,6
30,12,39
6,172,6
86,8,2
8,2,8
2,6,57
23,16,56
8,65,54
64,46,67
59,58,50
60,50,71
69,46,68
68,52,58
58,61,48
46,68,53
53,56,65
65,46,74
67,55,54
55,54,70
67,44,76
76,46,65
51,73,44
45,77,46
73,44,78
64,61,47
63,63,46
46,84,42
60,68,43
80,50,56
56,73,41
41,91,40
52,54,79
94,40,76
52,50,80
95,38,76
97,37,74
76,54,47
37,74,53
83,34,100
74,53,45
54,43,88
72,53,43
53,41,91
72,51,41
30,111,31
111,31,75
113,30,78
30,78,46
78,46,42
28,120,28
46,42,88
29,124,27
124,27,91
86,41,45
41,45,78
38,47,72
78,27,126
24,106,32
106,32,56
29,117,22
28,64,49
49,32,95
133,23,84
74,41,36
23,84,35
95,21,141
140,21,99
35,42,67
42,67,24
29,49,52
18,134,20
122,18,148
18,151,17
32,39,62
62,22,116
52,44,27
21,71,32
150,18,98
27,88,19
18,98,25
159,16,132
113,16,163
28,77,19
16,163,15
28,39,47
77,19,132
39,47,24
16,102,19
30,34,50
173,13,154
102,19,57
21,87,15
18,61,23
